id,reference
0,32.152865
1,62.818713
2,19.068127
3,36.649369
4,53.691366
5,46.083854
6,46.156030
7,70.326723
8,60.988697
9,58.523276
10,37.317741
11,70.862453
12,80.761261
13,15.143391
14,68.676837
15,69.760445
16,46.447075
17,81.223198
18,54.804119
19,81.845426
20,47.370845
21,41.265059
22,25.739315
23,51.545513
24,16.702024
25,70.711833
26,50.847864
27,34.455960
28,15.078537
29,87.061673
30,61.303193
31,34.467823
32,74.371957
33,85.998046
34,56.392291
35,80.792777
36,34.434746
37,72.497778
38,6.568655
39,51.310963
40,38.032933
41,43.974778
42,41.793050
43,31.113267
44,36.729030
45,42.985807
46,32.736519
47,52.423821
48,41.337708
49,36.140388
50,45.638940
51,17.096183
52,54.479208
53,47.629610
54,69.934694
55,60.303550
56,48.858093
57,27.777341
58,71.514871
59,80.917669
60,42.844435
61,42.512082
62,40.289875
63,35.954307
64,38.872364
65,67.334209
66,21.378362
67,55.177948
68,30.541848
69,49.640425
70,58.374800
71,41.589953
72,58.552652
73,10.070263
74,34.400711
75,45.753864
76,49.726817
77,30.620194
78,43.498023
79,84.248049
80,63.549262
81,19.868150
82,47.631918
83,65.744210
84,77.129198
85,16.137633
86,35.567015
87,5.899685
88,36.165926
89,48.226794
90,53.892218
91,37.318343
92,31.204075
93,39.502825
94,62.036151
95,44.455931
96,24.667470
97,52.443331
98,42.123516
99,60.723004
100,40.339518
101,84.049287
102,22.671163
103,30.684625
104,19.721271
105,42.931887
106,78.717361
107,56.114815
108,83.901443
109,54.552120
110,29.529974
111,20.807408
112,55.707553
113,14.572889
114,39.609832
115,50.487779
116,50.342042
117,44.511686
118,72.972920
119,91.341930
120,42.431387
121,16.482833
122,45.440847
123,30.630613
124,24.680401
125,5.615693
126,56.208548
127,44.403133
128,25.023775
129,81.697082
130,-6.094426
131,35.937584
132,22.311287
133,54.138024
134,86.454202
135,37.068577
136,42.538590
137,21.088139
138,70.074759
139,46.815562
140,78.491367
141,6.799466
142,89.540097
143,57.351439
144,25.023459
145,37.712390
146,55.681491
147,83.710617
148,36.858847
149,34.411605
150,10.851549
151,67.892481
152,45.108270
153,38.358772
154,40.199875
155,34.763580
156,82.813495
157,32.829064
158,44.956002
159,82.814296
160,77.734564
161,82.961079
162,39.072516
163,26.743248
164,82.560309
165,43.102500
166,86.836527
167,52.564761
168,41.238739
169,44.002985
170,29.366936
171,11.420055
172,25.451661
173,20.515354
174,70.208531
175,37.941542
176,28.846964
177,41.197914
178,37.289763
179,78.283030
180,41.289945
181,50.323862
182,72.774139
183,74.762923
184,33.213925
185,27.521127
186,13.203769
187,19.077904
188,74.792705
189,49.372847
190,90.016479
191,81.942455
192,13.035883
193,28.692349
194,47.406442
195,46.172985
196,20.487315
197,73.243687
198,37.687192
199,14.971557
200,72.732928
201,91.068132
202,72.312019
203,66.305246
204,80.318849
205,57.285102
206,72.352547
207,61.697265
208,29.409952
209,50.296136
210,15.395044
211,20.062958
212,18.007125
213,71.424910
214,19.433862
215,38.047349
216,41.338875
217,83.665461
218,18.454524
219,34.908688
220,38.749154
221,67.611489
222,43.421523
223,48.020190
224,49.571695
225,65.878442
226,4.543662
227,50.561242
228,30.355466
229,49.523774
230,47.947607
231,41.030432
232,63.207927
233,73.055439
234,39.289616
235,55.168072
236,45.818925
237,54.357456
238,56.283851
239,45.243769
240,78.861665
241,3.252217
242,41.585215
243,42.768537
244,64.518453
245,42.258422
246,36.094540
247,38.251548
248,20.546003
249,91.090252
250,36.084561
251,61.342729
252,53.763089
253,36.258334
254,7.612774
255,21.784377
256,48.297027
257,38.299793
258,42.863152
259,8.898269
260,62.702775
261,33.120757
262,50.084387
263,41.701085
264,88.406813
265,75.267754
266,67.798563
267,40.990386
268,56.731913
269,82.837170
270,66.722835
271,54.051550
272,31.626147
273,39.068020
274,23.662456
275,36.428277
276,58.476552
277,68.791839
278,46.779525
279,37.527621
280,67.828644
281,26.001840
282,58.956330
283,20.136805
284,56.282469
285,32.985567
286,11.027461
287,52.204810
288,50.679037
289,66.751797
290,80.968246
291,25.835606
292,65.779565
293,39.593868
294,38.520959
295,73.703456
296,35.999789
297,22.093208
298,15.282776
299,50.430920
300,89.428670
301,86.144003
302,45.775353
303,11.395334
304,52.643343
305,50.477796
306,32.903229
307,42.009581
308,27.870365
309,70.644406
310,31.888927
311,39.741045
312,21.663336
313,79.266338
314,78.810539
315,44.758383
316,37.234779
317,36.893384
318,75.372700
319,9.672562
320,45.394943
321,41.157707
322,20.057585
323,39.304818
324,58.988469
325,51.889126
326,41.439410
327,52.782369
328,46.799797
329,46.037481
330,42.515283
331,67.327159
332,52.077189
333,41.735270
334,59.162321
335,56.250301
336,16.145332
337,70.649219
338,39.255306
339,28.671672
340,53.305359
341,38.415343
342,37.157245
343,52.725896
344,53.266579
345,9.507176
346,17.784012
347,10.052313
348,22.426222
349,39.999578
350,49.955993
351,27.870882
352,45.461705
353,60.411625
354,15.874620
355,55.883242
356,75.210601
357,38.079146
358,75.488483
359,28.497850
360,49.553144
361,2.453406
362,43.664913
363,74.990066
364,28.205929
365,47.839594
366,40.317782
367,56.186380
368,34.981841
369,76.400673
370,63.281977
371,36.368455
372,11.127365
373,24.437778
374,37.765326
375,1.309845
376,41.483882
377,38.382175
378,81.642873
379,42.878671
380,13.948822
381,12.158926
382,74.120966
383,54.338483
384,71.074245
385,49.449770
386,70.294011
387,29.689826
388,22.445522
389,24.271139
390,30.468562
391,52.092421
392,50.849868
393,73.066383
394,20.890913
395,33.808524
396,55.253553
397,22.936507
398,48.780226
399,37.903420
400,42.594228
401,86.160866
402,31.072302
403,8.511212
404,48.016560
405,30.577372
406,46.702478
407,50.683794
408,41.851834
409,42.058941
410,42.386880
411,34.462656
412,29.946743
413,47.824726
414,76.338569
415,65.628642
416,12.649700
417,53.176194
418,70.386402
419,48.128448
420,80.573747
421,75.230909
422,38.881770
423,84.258750
424,74.729151
425,25.302232
426,10.765737
427,47.413862
428,47.035930
429,58.180925
430,17.326901
431,19.302934
432,61.321448
433,41.468326
434,57.943014
435,79.706581
436,26.012133
437,72.814947
438,52.407597
439,39.598782
440,59.758647
441,35.530902
442,17.992994
443,49.853908
444,25.024665
445,36.959000
446,38.069600
447,56.075650
448,48.781249
449,62.048103
450,71.291428
451,7.987017
452,52.108461
453,49.314423
454,34.245004
455,31.882397
456,25.454917
457,9.562796
458,41.212480
459,88.195647
460,73.390468
461,1.151632
462,37.883875
463,31.168568
464,84.268825
465,50.404875
466,40.380770
467,42.364192
468,54.324035
469,59.019100
470,32.342909
471,79.285186
472,10.904138
473,31.062909
474,26.119510
475,23.844219
476,42.853244
477,53.034187
478,37.929054
479,67.011553
480,41.427342
481,50.087915
482,48.181369
483,57.856433
484,28.925483
485,65.297525
486,15.388054
487,60.567847
488,44.143032
489,39.791822
490,55.928920
491,57.080205
