id,label
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,1
55,1
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,1
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,0
163,0
164,1
165,0
166,1
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,1
187,0
188,1
189,0
190,0
191,0
192,1
193,1
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,0
202,0
203,0
204,1
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,0
234,0
235,1
236,0
237,1
238,0
239,1
240,1
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,0
259,1
260,1
261,1
262,0
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,0
280,1
281,1
282,0
283,1
284,0
285,0
286,0
287,0
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,0
299,0
300,1
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,0
315,0
316,0
317,0
318,1
319,0
320,1
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,0
342,1
343,0
344,1
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,1
364,1
365,1
366,1
367,1
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,0
382,0
383,0
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,1
420,0
421,0
422,0
423,1
424,0
425,1
426,0
427,1
428,0
429,0
430,1
431,0
432,0
433,1
434,0
435,1
436,0
437,0
438,1
439,0
440,0
441,1
442,0
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,0
456,1
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,0
472,1
473,0
474,0
475,0
476,0
477,1
478,1
479,0
480,0
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,1
498,0
499,0
500,1
501,0
502,0
503,1
504,0
505,0
506,0
507,1
508,0
509,1
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,1
519,0
520,0
521,1
522,1
523,1
524,1
525,0
526,0
527,0
528,0
529,1
530,0
531,0
532,0
